repository_name,date,views,unique_visitors/cloners
pdp-mcp,2025-10-29,17,2
pdp-mcp,2025-10-30,5,1
pdp-mcp,2025-11-04,1,1
pdp-mcp,2025-11-05,2,1
pdp-mcp,2025-11-07,6,1
pdp-mcp,2025-11-10,107,28
pdp-mcp,2025-11-11,114,8
pdp-mcp,2025-11-12,29,8
pdp-mcp,2025-11-13,6,4
pdp-mcp,2025-11-14,10,5
pdp-mcp,2025-11-15,4,1
pdp-mcp,2025-11-17,4,2
pdp-mcp,2025-11-18,4,3
pdp-mcp,2025-11-19,40,15
pdp-mcp,2025-11-20,103,28
pdp-mcp,2025-11-21,80,34
pdp-mcp,2025-11-22,15,3
pdp-mcp,2025-11-23,5,3
pdp-mcp,2025-11-24,12,8
